Nový Rok,1.1.
Alexandra,Karina,2.1.,Ábel,Makar,Karin,Kara,Sandra,Saša
Daniela,3.1.,Danila,Danuta,Genovéva,Radmila
Drahoslav,4.1.,Drahoľub,Drahomil,Drahoň,Drahoš,Duchoslav,León,Títus,Drahoľuba,Drahomila,Duchoslava,Leóna,Leónia
Andrea,5.1.,Artúr
Antónia,6.1.,Melchior,Melichar,Menhard
Bohuslava,7.1.,Attila,Lucián,Bohuna,Boleslava,Božislava,Luciána
Severín,8.1.,Čestmír,Pravomil,Čestmíra,Pravomila,Severína
Alexej,9.1.,Alex,Domoľub,Julián,Pravoľub,Vladan,Vladen,Alexia,Pravoľuba,Vladana,Vladena
Dáša,10.1.,Agatón,Dalimil,Dalimír,Dalimila,Dalimíra
Malvína,11.1.,Honorát,Tasilo,Honoráta
Ernest,12.1.,Arkád,Arnošt,Arkádia,Arnoštka,Erna,Ernestína
Rastislav,13.1.,Čistomil,Čistoslav,Rastic,Rastimír,Ratislav,Vidor,Čistomila,Čistoslava,Rastislava,Ratislava
Radovan,14.1.,Hilár,Uriáš,Uriel,Hilária,Radovana,
Dobroslav,15.1.,Dobrotín,Domoslav,Loránt,Múdroslav,Domoslava,
Kristína,16.1.
Nataša,17.1.,Aneta,Sofia,Marta,Anna
Bohdana,18.1.,Priskus,Piroška,Priska
Drahomíra,Mário,Sára,19.1.,Márius,Dúbravka
Dalibor,20.1.,Fabián,Fábius,Sebastián,Šebastián,Fábia,Fabiána,Fabiola,Sebastiána,
Vincent,21.1.,Vincencia
Zora,22.1.,Dorián,Sírius,Slavoľub,Slavomil,Zoran,Auróra,Cyntia,Doriána,Sinda,Slavomila,Zorana,Zara
Miloš,23.1.,Miloň,Selma,
Timotej,24.1.,Ctiboh,Timotea
Gejza,25.1.,Saul,Šavol,
Tamara,26.1.,Tamia,Polykarp,Slavibor,Slavislav,Slaviboj,Slavoboj,Svätoboj,Svätobor,Xenofón,Žarko,Polykarpa,
Bohuš,27.1.,Pribislav,Pribiš,
Alfonz,28.1.,Manfréd,Alfonzia,
Gašpar,29.1.,Pribina
Ema,30.1.,Jasna
Emil,31.1.,Emilián,Emiliána,Marika
Tatiana,1.2.,Hynek,Trifon,Táňa,Girron
Erik,Erika,2.2.,Aida
Blažej,3.2.,Celerín,Celerína
Veronika,4.2.,Nika,Verena,Verona
Agáta,5.2.,Moderát,Modest,Leda,Moderáta,Modesta
Dorota,6.2.,Dorisa,Titanila
Vanda,7.2.,Romuald
Zoja,8.2.,Aranka,Zoe
Zdenko,9.2.,Rainold,Rinaldo,Zdeno,Apolena,Apoliena,Apolónia
Gabriela,10.2.,Scholastika,Školastika
Dezider,11.2.,Želislav,Dezidera,Želislava
Perla,12.2.,Ron,Ronald,Zoro,Zoroslav,Eulália,Slavena,Solveiga,Zoroslava
Arpád,13.2.,Jordán,Jordána
Valentín,14.2.,Velimír
